Designator,Value,Layer,Footprint,Mid X,Mid Y,Rotation,Description
J11,43650-0215,Top,43650-0217,100.874,32.663,270,Connector
U5,LIS2DW12TR,Top,LGA-12,34.544,33.655,180,Integrated Circuit
USB,47346-0001,Top,47346-0001,52.6415,75.251,0,Connector
U4,MCP41010-I_SN,Top,SOIC127P600X175-8N,23.241,38.227,0,Integrated Circuit
U3,MCP41010-I_SN,Top,SOIC127P600X175-8N,23.368,46.482,0,Integrated Circuit
U2,CP2104-F03-GMR,Top,QFN50P400X400X80-25N-D,47.149,60.559,270,Integrated Circuit
U1,USBLC6-2SC6,Top,SOT95P280X145-6N,47.244,67.945,270,Integrated Circuit
STM32,STM32F072RBT6,Top,QFP50P1200X1200X160-64N,36.3855,48.514,0,Integrated Circuit
SMPS,TPS5430MDDAREP,Top,SOIC127P600X170-9N,68.326,7.62,0,Integrated Circuit
R12,100k,Top,RESC3216X51N,96.393,45.363,90,Resistor
R11,100k,Top,RESC3216X51N,96.393,55.626,90,Resistor
R10,Res1,Top,AXIAL-0.3,36.322,16.129,180,Resistor
R9,Res1,Top,AXIAL-0.3,25.273,16.129,180,Resistor
R8,Res1,Top,AXIAL-0.3,19.5072,7.239,270,Resistor
R7,Res1,Top,AXIAL-0.3,96.901,5.461,270,Resistor
R6,Res1,Top,AXIAL-0.3,96.901,24.789,270,Resistor
R5,120 ohm,Top,RESC1608X55N,57.785,50.292,90,Resistor
R4,68k,Top,RESC1608X55N,79.629,1.905,180,Resistor
R3,100k,Top,RESC3216X51N,84.582,1.905,180,Resistor
R2,0603WAF3241T5E (3.24K),Top,RESC1608X55N,51.816,2.794,90,Resistor
R1,1206W4F1002T5E (10K),Top,RESC3216X75N,52.197,9.906,270,Resistor
Q1,AO3401A,Top,SOT95P237X115-3N,79.248,8.001,90,Diode ESD (Bi-directional)
MAIN,43650-0900,Top,436500900,80.072,71.883,180,Connector
LED5,43650-0215,Top,43650-0217,37.556,7.239,90,Connector
LED4,43650-0215,Top,43650-0217,26.507,7.239,90,Connector
LED3,43650-0215,Top,43650-0217,15.458,7.239,90,Connector
LED2,43650-0215,Top,43650-0217,100.874,7.239,270,Connector
LED1,43650-0215,Top,43650-0217,100.874,19.963,270,Connector
LCD,HY28B,Bottom,HY28B,52.6366,39.4932,180,"2.8 LCD"""
L1,MWSA0603-150MT (15uH),Top,INDPM7166X300N,58.674,11.176,360,Inductor
JTAG,Header 10X2A,Top,HDR2X10_CEN,67.564,61.722,360,"Header, 10-Pin, Dual row"
J10,43650-0215,Top,43650-0217,100.874,45.363,270,Connector
J9,43650-0215,Top,43650-0217,100.874,58.063,270,Connector
J8,43650-0215,Top,43650-0217,100.874,70.89,270,Connector
J7,43650-0215,Top,43650-0217,4.409,7.239,90,Connector
J6,43650-0215,Top,43650-0217,4.409,19.963,90,Connector
J5,43650-0215,Top,43650-0217,4.409,32.663,90,Connector
J4,43650-0215,Top,43650-0217,4.409,45.363,90,Connector
J3,43650-0215,Top,43650-0217,4.409,58.063,90,Connector
J2,43650-0215,Top,43650-0217,4.409,70.89,90,Connector
J1,43650-0900,Top,436500900,25.1604,71.883,180,Connector
FB1,GZ2012D601TF,Top,RESC2012X55N,74.041,13.462,90,Resistor
F1,250 mA,Top,RESC3216X51N,84.455,7.239,180,Resistor
D2,B5819W-SL,Top,SOD3716X135N,79.248,15.367,90,Schottky Diode
D1,SS14,Top,DIONM5327X242N,57.871,2.54,180,Schottky Diode
CAN,SN65HVD1050DR,Top,SOIC127P600X175-8N,51.689,50.165,0,Integrated Circuit
C12,CL21B105KBFNNNE,Top,CAPC2012X135N,42.2605,62.738,90,Capacitor
C11,4.7 uF,Top,CAPC2012X140N,31.115,40.513,180,Capacitor
C10,4.7 uF,Top,CAPC2012X140N,40.513,38.735,180,Capacitor
C9,4.7 uF,Top,CAPC2012X140N,45.847,54.229,270,Capacitor
C8,4.7 uF,Top,CAPC2012X140N,33.274,58.547,0,Capacitor
C7,100 nF,Top,CAPC1005X55N,30.988,38.862,180,Capacitor
C6,100 nF,Top,CAPC1005X55N,40.513,40.513,180,Capacitor
C5,100 nF,Top,CAPC1005X55N,44.069,53.848,270,Capacitor
C4,100 nF,Top,CAPC1005X55N,33.274,60.325,0,Capacitor
C3,35V,Top,RAD-0.3,45.593,7.239,90,Capacitor
C2,0.01 uF,Top,CAPC2012X65N,62.992,2.54,270,Capacitor
C1,10 uF,Top,CAPC2012X145N,74.041,7.493,270,Capacitor
